graph_num,C,p_1,beta_0,gamma_0
0,7.0,0.5,-2.57407497,1.56324989
1,7.0,0.5714285714285714,2.7488935771795866,-1.57079635
2,10.0,0.6428571428571429,2.74889357,-1.57079628
3,11.0,0.5927884361197613,-1.96349541,-1.04719756
4,11.0,0.5927884361197613,-1.17809725,1.04719753
5,11.0,0.6642170075483327,-2.74889358,1.04719757
6,12.0,0.5811898816047911,0.39269909,1.04719756
7,12.0,0.6436898816047911,-1.17809726,1.04719754
8,11.0,0.5,-2.98019605,0.70701348
9,13.0,0.6166423687039607,-2.74889358,2.18627606
10,7.0,0.6880709401325322,-2.74889358,2.1862760271795865
11,9.0,0.6020620726159658,1.17809724,-2.18627603
12,11.0,0.6645620726159657,1.17809724,-2.18627601
13,11.0,0.5907218423253028,-1.17809724,0.9553166
14,8.0,0.6462773978808585,0.39269908,0.95531664
15,8.0,0.5,-1.40317332,1.77170741
16,9.0,0.5625,1.75035657,0.59953827
17,12.0,0.6111111111111112,2.74889356,-1.57079632
18,10.0,0.6666666666666666,2.74889357,-1.57079635
19,11.0,0.6,1.9634954,1.57079633
20,10.0,0.65,-1.17809725,1.57079629
21,11.0,0.5,2.09924905,1.18520325
22,12.0,0.55,-0.4050187,1.5297797
23,8.0,0.6136363636363636,0.39269908,1.57079632
24,10.0,0.6590909090909091,-1.17809725,1.57079631
25,11.0,0.5,-0.73650606,2.37510041
26,9.0,0.5416666666666666,-0.93344349,-2.90576324
27,9.0,0.6428571428571429,-1.96349541,-1.57079632
28,10.0,0.7142857142857143,-1.17809724,1.57079632
29,11.0,0.7857142857142857,-1.17809725,1.57079634
30,11.0,0.6572739098229147,-1.17809725,1.19606192
31,11.0,0.7287024812514861,1.9634954,1.19606187
32,11.0,0.6572739098229147,1.9634954,1.1960619
33,11.0,0.7287024812514861,1.17809724,-1.19606188
34,12.0,0.7287024812514862,0.39269908,1.1960619
35,10.0,0.8001310526800577,-0.39269909,-1.1960619
36,11.0,0.6376146710950504,-1.17809725,1.19606188
37,12.0,0.7001146710950503,0.39269909,1.19606191
38,11.0,0.7001146710950503,-1.1780972471795865,1.1960619071795862
39,13.0,0.7626146710950503,0.39269908,1.19606191
40,12.0,0.6428571428571429,2.74889357,-1.5707963
41,15.0,0.5714285714285714,1.96349541,1.57079636
42,10.0,0.6428571428571429,-2.7488935771795866,1.57079631
43,9.0,0.7510112460156311,2.74889357,-1.2309594
44,8.0,0.8224398174442021,1.9634954,1.9106333271795866
45,10.0,0.6571348402636772,-1.96349541,-1.91063319
46,10.0,0.7196348402636771,1.9634954,1.2309594371795864
47,10.0,0.7196348402636772,1.9634954,1.91063326
48,12.0,0.7821348402636772,0.39269908,1.91063317
49,10.0,0.6396754135677132,1.17809724,-1.23095942
50,9.0,0.6952309691232686,-2.74889357,1.9106333
51,11.0,0.6952309691232686,-1.17809725,1.2309594
52,11.0,0.7507865246788241,0.39269908,1.23095935
53,10.0,0.625,1.17809724,-1.57079632
54,11.0,0.6875,-1.96349541,-1.57079629
55,11.0,0.5555555555555555,-0.3926991,-1.57079635
56,13.0,0.6111111111111112,1.17809725,-1.5707963
57,12.0,0.7222222222222222,0.39269908,1.57079632
58,12.0,0.7777777777777778,2.74889357,-1.57079633
59,12.0,0.65,-2.7488935771795866,1.57079633
60,12.0,0.7,-0.39269909,-1.5707963
61,12.0,0.7,-1.96349541,-1.57079634
62,12.0,0.75,-1.96349541,-1.5707963371795863
63,12.0,0.6428571428571429,-1.26305646,0.61547971
64,10.0,0.625,2.83385279,2.52611296
65,12.0,0.6875,-2.83385281,0.61547972
66,11.0,0.6257266137890062,-1.96349542,-0.93592944
67,12.0,0.6971551852175776,-2.74889358,0.93592948
68,14.0,0.6257266137890062,-2.74889358,0.93592943
69,11.0,0.6971551852175777,-1.96349541,-0.93592945
70,12.0,0.6971551852175777,1.96349541,0.93592946
71,12.0,0.6100107870653804,-1.17809725,0.93592945
72,10.0,0.6725107870653804,-0.39269907,-0.93592946
73,11.0,0.6725107870653804,-1.96349542,-0.93592945
74,12.0,0.7350107870653804,0.39269908,0.93592944
75,12.0,0.6733564833975452,0.32932434,0.65290919
76,10.0,0.7447850548261166,-1.90012067,-0.65290919
77,10.0,0.6733564833975453,-1.24147199,0.65290918
78,14.0,0.6516869229728521,2.8122683,-0.65290918
79,12.0,0.6516869229728521,0.32932434,0.65290918
80,12.0,0.714186922972852,-1.24147199,0.6529092
81,12.0,0.6516869229728521,0.32932434,0.65290917
82,13.0,0.7141869229728521,-0.32932434,-0.65290917
83,12.0,0.634832820420313,-0.32932434,-0.65290918
84,11.0,0.6903883759758686,-1.90012067,-0.65290919
85,13.0,0.5714285714285714,-1.17809725,1.57079631
86,14.0,0.5625,2.74889357,-1.57079635
87,12.0,0.7226115368799798,-1.9634954,-0.8840200871795861
88,12.0,0.6947850947699824,-1.1780972471795865,0.88402006
89,12.0,0.6322850947699823,-1.9634954,-0.88402009
90,12.0,0.6947850947699824,-1.9634954071795863,-0.88402006
91,13.0,0.6947850947699823,1.9634954,0.88402004
92,13.0,0.7572850947699823,1.17809724,-0.88402008
93,13.0,0.6428571428571429,0.39269907,1.57079635
94,15.0,0.7226115368799799,1.17809724,-0.88402008
95,10.0,0.6947850947699824,-2.7488935771795866,0.88402006
96,12.0,0.6322850947699823,-0.39269909,-0.88402008
