graph_num,C,p_1,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,gamma_0,gamma_1,gamma_2,gamma_3,gamma_4,gamma_5,gamma_6,gamma_7,gamma_8,gamma_9,gamma_10,gamma_11,gamma_12,gamma_13,gamma_14,gamma_15,gamma_16,gamma_17,gamma_18,gamma_19,gamma_20,gamma_21,gamma_22,gamma_23,gamma_24,gamma_25,gamma_26,gamma_27
0,7.0,0.5,-0.25799135000000006,-2.07262362,1.31414292,-0.22118023,-1.48472139,3.07993293,-1.56386452,-1.92652935,1.41840201,1.9048222,2.22140132,-2.60298518,-0.7049997399999999,1.68318683,-1.53258104,,,,,,,,,,,,,,,,,,,,,
1,7.0,0.5714285714285714,0.9056528799999999,-2.95076657,-2.14194794,1.27539177,0.73158686,0.11559695999999998,-1.69105103,1.43671053,-1.57079632,-0.57509141,0.27689375,-2.00365016,1.86409854,0.20312186,0.97951601,,,,,,,,,,,,,,,,,,,,,
2,10.0,0.6428571428571429,-1.07153908,-1.15998578,1.58016812,0.57268263,3.06002493,-0.67166484,0.28614092,1.05631085,-1.57079632,1.36512215,0.07326685,1.03456246,1.85417048,-2.25655394,-1.14787653,3.11114108,,,,,,,,,,,,,,,,,,,,
3,11.0,0.6428571428571416,2.3561945371795865,2.35619452,-1.57779731,-0.821748836,3.02362186,2.81833273,-8.8903073e-09,1.44761876,-1.57079646,-1.57079625,0.282840567,0.23690947900000003,1.49404359,-2.26603512,-0.00641554745,,,,,,,,,,,,,,,,,,,,,
4,11.0,0.642857142857139,0.785398086,-2.35619439,-0.230202946,-2.53957382,-1.63948524,-2.10628089,-2.62005278e-08,1.13212714,1.57079648,1.57079647,2.68897841,1.53836677,2.30883042,-0.564090756,-0.849285577,,,,,,,,,,,,,,,,,,,,,
5,11.0,0.7142857142857111,0.785398175,2.35619446,-1.89095131,-2.75959206,3.1031109,1.49918906,2.52246824e-08,-1.68461701,1.57079641,-1.5707960571795863,0.34890225,-2.35644779,0.0362719436,-2.61638023,-0.337778441,2.30462203,,,,,,,,,,,,,,,,,,,,
6,12.0,0.6249999999999972,0.785398175,2.35619446,-1.89095131,-2.75959206,3.1031109,1.49918906,2.52246824e-08,-1.68461701,1.57079641,-1.5707960571795863,0.34890225,-2.35644779,0.0362719436,-2.61638023,-0.337778441,2.30462203,,,,,,,,,,,,,,,,,,,,
7,12.0,0.6874999999999958,-0.78539811,-0.78539813,-2.62079496,-1.50109177,-1.88297331,-2.76700024,-1.57079622,-1.02075279,1.57079646,1.5707962,-1.13993205,2.2019011,0.69454627,0.47657665,2.67274634,1.01825396,-2.87042872,,,,,,,,,,,,,,,,,,,
8,11.0,0.5,1.75634148,-0.32735039,1.10924297,-0.95124721,-1.24298103,3.08574878,1.76886213,-2.83627414,0.38897306000000004,-2.28206382,0.38792462999999994,-2.42593708,0.9928808500000001,2.86712679,2.91390671,,,,,,,,,,,,,,,,,,,,,
9,13.0,0.714285714285612,0.7853983,0.78539814,0.7853988871795867,-2.02401335,-2.48188974,1.30824027,3.14159252,-2.72628904,1.57079572,1.57079609,1.57079612,1.0904208,2.49130701,-1.60011657,3.14107097,,,,,,,,,,,,,,,,,,,,,
