graph_num,C,p_1,beta_0,gamma_0,p_1_angles
0,7.0,0.5,-2.356194490192345,1.5707963267948966,[-2.35619449  1.57079633]
1,7.0,0.5714285714285714,3.141592653589793,-1.5707963267948966,[ 3.14159265 -1.57079633]
2,10.0,0.6428571428571429,2.356194490192345,-1.5707963267948966,[ 2.35619449 -1.57079633]
3,11.0,0.5927884361197613,-2.356194490192345,-0.7853981633974483,[-2.35619449 -0.78539816]
4,11.0,0.5927884361197613,-1.5707963267948966,0.7853981633974483,[-1.57079633  0.78539816]
5,11.0,0.6642170075483327,-3.141592653589793,0.7853981633974483,[-3.14159265  0.78539816]
6,12.0,0.5811898816047911,0.7853981633974483,0.7853981633974483,[0.78539816 0.78539816]
7,12.0,0.6436898816047911,-1.5707963267948966,0.7853981633974483,[-1.57079633  0.78539816]
8,11.0,0.5,-3.141592653589793,0.7853981633974483,[-3.14159265  0.78539816]
9,13.0,0.6166423687039607,-3.141592653589793,2.356194490192345,[-3.14159265  2.35619449]
10,7.0,0.6880709401325322,-3.141592653589793,2.356194490192345,[-3.14159265  2.35619449]
11,9.0,0.6020620726159658,0.7853981633974483,-2.356194490192345,[ 0.78539816 -2.35619449]
12,11.0,0.6645620726159657,0.7853981633974483,-2.356194490192345,[ 0.78539816 -2.35619449]
13,11.0,0.5907218423253028,-0.7853981633974483,0.7853981633974483,[-0.78539816  0.78539816]
14,8.0,0.6462773978808585,0.0,0.7853981633974483,[0.         0.78539816]
15,8.0,0.5,-1.5707963267948966,1.5707963267948966,[-1.57079633  1.57079633]
16,9.0,0.5625,1.5707963267948966,0.7853981633974483,[1.57079633 0.78539816]
17,12.0,0.6111111111111112,2.356194490192345,-1.5707963267948966,[ 2.35619449 -1.57079633]
18,10.0,0.6666666666666666,2.356194490192345,-1.5707963267948966,[ 2.35619449 -1.57079633]
19,11.0,0.6,1.5707963267948966,1.5707963267948966,[1.57079633 1.57079633]
20,10.0,0.65,-1.5707963267948966,1.5707963267948966,[-1.57079633  1.57079633]
