graph_num,C,p_1,beta_0,gamma_0
0,7.0,0.75,-1.96349541,-1.57079632
1,7.0,0.7253645471517493,-0.39269908,-1.2554688210245546
2,10.0,0.7683797596496367,2.77636839,-0.79089274
3,11.0,0.7215061172970173,-1.96349541,-2.29604953
4,11.0,0.7304943990814481,-2.74889357,0.86731219
5,11.0,0.7790612351481749,-1.94111373,-0.73887021
6,12.0,0.705614034593107,2.7488935671795867,-0.77128051
7,12.0,0.7390555402546815,-2.78689384,0.66026056
8,11.0,0.7230403286667961,1.17809724,-0.80628616
9,13.0,0.7358235479071048,1.96349541,0.8146946
10,7.0,0.7839133663999638,2.76954136,-0.71981185
11,9.0,0.712336354568379,-1.9634954,-0.73726136
12,11.0,0.745379153832549,-2.7837557271795865,0.66055178
13,11.0,0.6953716838159231,-1.9634954,-0.68625057
14,8.0,0.7178188654648464,-1.91801907,-0.61090683
15,8.0,0.7144614516417377,1.17809724,-0.72833101
16,9.0,0.7473913654817511,0.3588185,0.65918146
17,12.0,0.6986669903246767,2.7488935671795867,-0.6757345
18,10.0,0.7210849857716535,-1.22169017,0.61376799
19,11.0,0.6862189345914296,1.17809724,-0.63900083
20,10.0,0.7010022516207847,-2.79989969,0.57703974
21,11.0,0.6874654868162704,-1.17809724,0.63556365
22,12.0,0.7022948796377269,-2.7990688271795867,0.5787469
23,8.0,0.678022454757692,1.17809724,-0.60638178
24,10.0,0.6871811242015201,-0.33734763,-0.54994604
25,11.0,0.6707032344978227,0.39269907,-2.55966061
26,9.0,0.6755564651181709,0.33380505,0.52681523
27,9.0,0.7304943990814481,1.9634954,0.86731218
28,10.0,0.7817394097728521,-2.776144787179587,0.72978294
29,11.0,0.8447758814620149,0.34902823,0.64168378
30,11.0,0.7358235479071047,-0.39269909,-0.81469461
31,11.0,0.7871341583373578,-0.36392466,-0.69703613
32,11.0,0.74453928938445,-2.74889357,0.83106379
33,11.0,0.7918921915475658,-1.20202817,0.72898431
34,12.0,0.7942517279166533,-1.93483233,-0.72193495
35,10.0,0.8538096899523986,2.79154886,-0.6432633
36,11.0,0.7191391930920765,2.74889357,-0.7583241800000001
37,12.0,0.749872389382326,1.21765329,-0.66568582
38,11.0,0.7677283686614995,-1.20167088,0.67758351
39,13.0,0.8089400418961862,-1.23025734,0.60164822
40,12.0,0.7863609879907942,-2.78048841,0.6760164
41,15.0,0.7486274827374838,1.17809725,-0.81907686
42,10.0,0.7950289527610461,-2.77180949,0.72602132
43,9.0,0.797439244719443,1.20939626,-0.70181457
44,8.0,0.8567088908860246,1.92014731,0.63409272
45,10.0,0.7250118893330708,1.96349542,0.74664921
46,10.0,0.7549454924895596,-1.21534522,0.67040475
47,10.0,0.7729410156787337,-1.93834553,-0.66496824
48,12.0,0.8136743569595322,0.3412715328204132,0.60230128
49,10.0,0.7073107418362553,2.74889357,-0.69725466
50,9.0,0.7262558095010823,1.91582218,0.62329465
51,11.0,0.7529263961960565,-1.19901613,0.63559579
52,11.0,0.7811413302857766,-2.8064327,0.57361695
53,10.0,0.7725808630356774,-2.77651103,0.6516869900000001
54,11.0,0.814069545131016,0.34032762999999994,0.59561189
55,11.0,0.7093549158639308,2.74889357,-0.6934479371795865
56,13.0,0.7281935850218271,-1.91687762,-0.62608317
57,12.0,0.7546643493727765,-2.7714079471795863,0.62573093
58,12.0,0.7832415576648804,-1.23546527,0.572325
59,12.0,0.6965040022470959,-0.39269909,-0.6555739
60,12.0,0.7076160051072558,-2.80257486,0.58971372
61,12.0,0.7392028279036549,-2.7677964771795867,-2.537808
62,12.0,0.7586759970834274,-0.33133093999999996,-0.55058637
63,12.0,0.7797010632457736,0.3571779,0.65617094
64,10.0,0.7405725096409304,-0.34825048,-0.61156899
65,12.0,0.791590619457514,-1.89846071,-0.56228272
66,11.0,0.7445392893844501,1.17809724,-0.83106378
67,12.0,0.8218733635338017,0.39269908,0.75832417
68,14.0,0.7358235479071048,-0.39269908,-0.8146946
69,11.0,0.7887074961696104,-1.19788092,2.41572169
70,12.0,0.7918921915475658,-1.93956449,-0.72898434
71,12.0,0.7123363545683788,-1.17809725,0.73726137
72,10.0,0.7468898405328117,-1.21518705,0.65440093
73,11.0,0.7653525284152516,-1.19809078,0.67674241
74,12.0,0.8080971040619975,-0.34433542,-0.6042473599999999
75,12.0,0.7929935883836958,-0.35755145,-0.6803706899999998
76,10.0,0.8541786921834474,-2.79456014,0.62125645
77,10.0,0.791267598083551,-1.20891404,0.68744618
78,14.0,0.7473018591442621,1.21870831,-0.6301311
79,12.0,0.7491670543051465,-0.35053499,-0.6322979500000001
80,12.0,0.797818378405764,-2.811453757179587,0.57938355
81,12.0,0.7653578666855871,1.93603222,0.6383635899999999
82,13.0,0.8097565611633739,-1.91231682,-0.58640374
83,12.0,0.7320994511430668,1.21538954,-0.59721122
84,11.0,0.7675752333186385,-0.32434926,-0.54329808
85,13.0,0.7486274827374839,1.17809724,-0.81907687
86,14.0,0.7144614516417378,-1.96349541,-0.72833101
87,12.0,0.8285850163806524,1.17809724,-0.7466492299999999
88,12.0,0.769846663911999,-0.3739641,-0.6733505
89,12.0,0.7250118893330708,-0.39269908,-0.7466492299999999
90,12.0,0.7549454924895596,-0.35545112,-0.67040477
91,13.0,0.7957245845657872,-1.17809724,0.6972546299999999
92,13.0,0.8301464981252029,0.36121085,0.63384467
93,13.0,0.7916970300776833,-1.19714927,0.72050608
94,15.0,0.795390907245039,1.93671506,0.7080098600000001
95,10.0,0.7494273290732175,0.35464524,0.64263073
96,12.0,0.7183416524491333,-2.74889358,0.7290939999999999
97,13.0,0.7518186349408364,1.92847698,0.65833477
98,13.0,0.770792610552332,-1.9418423871795867,-0.6650091328204135
99,15.0,0.8128669914830999,1.22572841,-0.60438009
