path,random_path,p_1,p_1_angles,p_1_nfev,graph_num,C
graphs/main/all_8/graph_0/0.gml,graphs/main/all_8/graph_0/0.gml,1.0,[ 1.57079633 -1.57079633  1.57079633 -1.57079633 -1.57079633  1.57079633 -1.57079633  0.78539816  2.35619449  0.78539816  2.35619449  2.35619449  0.78539816  2.35619449 -3.14159265],1,0,7.0
graphs/main/all_8/graph_1/1.gml,graphs/main/all_8/graph_1/1.gml,0.9285714285714286,[-1.57079633  3.14159265 -1.57079633 -1.57079633  1.57079633 -1.57079633 -1.57079633  0.78539816  2.35619449 -0.78539816 -2.35619449 -0.78539816  2.35619449 -3.14159265  3.14159265],1,1,7.0
graphs/main/all_8/graph_2/2.gml,graphs/main/all_8/graph_2/2.gml,1.0,[-2.35619449  1.57079633 -1.57079633  1.57079633  1.57079633 -1.57079633 -1.57079633  1.57079633  2.35619449  2.35619449  0.78539816 -2.35619449  2.35619449 -0.78539816 -2.35619449 -3.14159265],1,2,10.0
graphs/main/all_8/graph_3/3.gml,graphs/main/all_8/graph_3/3.gml,0.9285714285714286,[-1.57079633 -1.57079633  1.57079633 -1.57079633 -1.57079633  1.57079633  0.78539816 -2.35619449 -2.35619449  0.78539816  2.35619449  2.35619449 -2.35619449  1.57079633  0.        ],1,3,11.0
graphs/main/all_8/graph_4/4.gml,graphs/main/all_8/graph_4/4.gml,0.9285714285714286,[ 2.35619449 -2.35619449 -1.57079633 -1.57079633  1.57079633  1.57079633  1.57079633  0.78539816 -2.35619449 -0.78539816 -2.35619449  0.78539816  0.78539816  1.57079633  3.14159265],1,4,11.0
graphs/main/all_8/graph_5/5.gml,graphs/main/all_8/graph_5/5.gml,1.0,[-1.57079633  3.14159265 -1.57079633 -1.57079633 -1.57079633  1.57079633  1.57079633 -3.14159265 -0.78539816 -2.35619449 -0.78539816 -0.78539816 -2.35619449 -2.35619449 -1.57079633  0.        ],1,5,11.0
graphs/main/all_8/graph_6/6.gml,graphs/main/all_8/graph_6/6.gml,0.875,[ 2.35619449  2.35619449  1.57079633 -0.         -1.57079633  1.57079633  1.57079633  1.57079633  2.35619449 -2.35619449 -0.78539816 -2.35619449  0.78539816  0.78539816 -3.14159265 -0.        ],1,6,12.0
graphs/main/all_8/graph_7/7.gml,graphs/main/all_8/graph_7/7.gml,1.0,[-0.         -1.57079633  0.         -1.57079633 -1.57079633  1.57079633  1.57079633  1.57079633  1.57079633  0.78539816 -2.35619449 -2.35619449  2.35619449  2.35619449 -0.78539816 -2.35619449 -1.57079633],1,7,12.0
graphs/main/all_8/graph_8/8.gml,graphs/main/all_8/graph_8/8.gml,0.9285714285714286,[ 1.57079633 -1.57079633  1.57079633  1.57079633 -1.57079633 -1.57079633 -2.35619449 -0.78539816 -2.35619449 -0.78539816 -0.78539816 -2.35619449  0.78539816  1.57079633 -1.57079633],1,8,11.0
graphs/main/all_8/graph_9/9.gml,graphs/main/all_8/graph_9/9.gml,0.9285714285714286,[ 0.78539816 -0.78539816 -1.57079633 -1.57079633  1.57079633  1.57079633 -1.57079633  0.78539816 -0.78539816 -0.78539816 -0.78539816  2.35619449  0.78539816  0.          1.57079633],1,9,13.0
graphs/main/all_8/graph_10/10.gml,graphs/main/all_8/graph_10/10.gml,1.0,[ 3.14159265  1.57079633  1.57079633 -1.57079633  1.57079633 -1.57079633  1.57079633  3.14159265  0.78539816 -0.78539816 -2.35619449  2.35619449  0.78539816  2.35619449  1.57079633 -1.57079633],1,10,7.0
graphs/main/all_8/graph_11/11.gml,graphs/main/all_8/graph_11/11.gml,0.875,[-0.78539816 -0.78539816 -0.78539816 -0.78539816 -1.57079633 -1.57079633 -1.57079633  1.57079633  0.78539816  0.78539816 -2.35619449  0.78539816  0.78539816 -0.78539816 -1.57079633 -1.57079633],1,11,9.0
graphs/main/all_8/graph_12/12.gml,graphs/main/all_8/graph_12/12.gml,0.9375,[-1.57079633  3.14159265 -2.35619449  2.35619449  1.57079633  1.57079633  1.57079633 -1.57079633  0.78539816 -2.35619449  0.78539816  0.78539816 -0.78539816  2.35619449 -2.35619449 -0.         -1.57079633],1,12,11.0
graphs/main/all_8/graph_13/13.gml,graphs/main/all_8/graph_13/13.gml,0.8333333333333334,[-2.35619449  2.35619449  1.57079633 -3.14159265  2.35619449  0.78539816 -1.57079633  1.57079633  1.57079633 -0.78539816 -2.35619449 -0.78539816  2.35619449  0.78539816 -2.35619449 -1.57079633  0.        ],1,13,11.0
graphs/main/all_8/graph_14/14.gml,graphs/main/all_8/graph_14/14.gml,1.0,[-3.14159265 -1.57079633 -0.          1.57079633 -3.14159265  1.57079633  1.57079633  1.57079633  1.57079633  1.57079633 -2.35619449  0.78539816  2.35619449  0.78539816  0.78539816 -2.35619449  2.35619449  0.        ],1,14,8.0
graphs/main/all_8/graph_15/15.gml,graphs/main/all_8/graph_15/15.gml,0.875,[-1.57079633  3.14159265 -2.35619449 -2.35619449  1.57079633 -1.57079633 -1.57079633  1.57079633  0.78539816 -2.35619449  0.78539816 -0.78539816  2.35619449 -2.35619449 -0.         -0.        ],1,15,8.0
graphs/main/all_8/graph_16/16.gml,graphs/main/all_8/graph_16/16.gml,0.9375,[ 0.          1.57079633  0.78539816 -2.35619449  1.57079633  1.57079633  1.57079633 -1.57079633  1.57079633 -2.35619449 -0.78539816  0.78539816 -2.35619449 -2.35619449  2.35619449 -3.14159265 -0.        ],1,16,9.0
graphs/main/all_8/graph_17/17.gml,graphs/main/all_8/graph_17/17.gml,0.8333333333333334,[ 0.78539816 -0.78539816  2.35619449  0.78539816 -1.57079633  0.          1.57079633  1.57079633 -1.57079633 -0.78539816 -0.78539816  0.78539816 -0.78539816  0.78539816  2.35619449 -1.57079633  0.        ],1,17,12.0
graphs/main/all_8/graph_18/18.gml,graphs/main/all_8/graph_18/18.gml,0.9444444444444444,[-0.         -1.57079633  3.14159265  1.57079633  3.14159265  1.57079633  3.14159265  1.57079633  1.57079633 -1.57079633 -0.78539816 -0.78539816 -0.78539816  1.57079633 -2.35619449  0.78539816 -0.78539816 -0.        ],1,18,10.0
graphs/main/all_8/graph_19/19.gml,graphs/main/all_8/graph_19/19.gml,0.8,[ 0.78539816  2.35619449 -3.14159265 -1.57079633  0.78539816 -0.78539816  3.14159265  1.57079633 -1.57079633 -1.57079633 -0.78539816 -0.78539816  0.78539816 -2.35619449 -2.35619449  0.78539816  3.14159265  1.57079633],1,19,11.0
graphs/main/all_8/graph_20/20.gml,graphs/main/all_8/graph_20/20.gml,1.0,[ 0.          1.57079633 -3.14159265  1.57079633  0.          1.57079633  3.14159265  1.57079633 -1.57079633  1.57079633  1.57079633  0.78539816 -0.78539816 -2.35619449  2.35619449 -0.78539816 -2.35619449  2.35619449  3.14159265],1,20,10.0
graphs/main/all_8/graph_21/21.gml,graphs/main/all_8/graph_21/21.gml,0.8,[ 2.35619449  0.78539816  1.57079633  3.14159265 -2.35619449  2.35619449  3.14159265 -1.57079633  1.57079633 -1.57079633 -0.78539816  0.78539816 -0.78539816  0.78539816 -0.78539816  2.35619449 -1.57079633  0.        ],1,21,11.0
graphs/main/all_8/graph_22/22.gml,graphs/main/all_8/graph_22/22.gml,0.95,[ 1.57079633  0.          1.57079633  0.          1.57079633 -3.14159265 -1.57079633 -0.         -1.57079633 -0.          1.57079633  0.78539816  0.78539816  2.35619449  2.35619449 -0.78539816  0.78539816  0.          0.78539816],1,22,12.0
graphs/main/all_8/graph_23/23.gml,graphs/main/all_8/graph_23/23.gml,0.7727272727272727,[ 0.          1.57079633 -1.57079633 -3.14159265  1.57079633 -0.          1.57079633  0.          2.35619449  2.35619449 -1.57079633 -0.78539816  2.35619449  2.35619449  2.35619449  0.78539816 -2.35619449 -1.57079633  1.57079633],1,23,8.0
graphs/main/all_8/graph_24/24.gml,graphs/main/all_8/graph_24/24.gml,1.0,[ 3.14159265  1.57079633  3.14159265 -1.57079633  3.14159265  1.57079633 -3.14159265  1.57079633 -0.          1.57079633  1.57079633  1.57079633  0.78539816  2.35619449  0.78539816 -2.35619449 -0.78539816 -0.78539816 -2.35619449  1.57079633],1,24,10.0
graphs/main/all_8/graph_25/25.gml,graphs/main/all_8/graph_25/25.gml,0.75,[-0.78539816  2.35619449  0.78539816 -2.35619449  3.14159265 -1.57079633 -2.35619449 -2.35619449  1.57079633  0.         -0.78539816  2.35619449 -2.35619449  2.35619449  0.78539816  0.78539816  0.78539816 -2.35619449 -0.         -0.        ],1,25,11.0
graphs/main/all_8/graph_26/26.gml,graphs/main/all_8/graph_26/26.gml,1.0,[ 1.57079633 -3.14159265  1.57079633  0.         -1.57079633  0.          1.57079633 -0.         -1.57079633 -0.          1.57079633  3.14159265  1.57079633 -0.78539816 -2.35619449  2.35619449  0.78539816 -0.78539816  2.35619449  3.14159265  2.35619449],1,26,9.0
graphs/main/all_8/graph_27/27.gml,graphs/main/all_8/graph_27/27.gml,0.8571428571428571,[-1.57079633  3.14159265 -1.57079633 -1.57079633 -1.57079633 -1.57079633  1.57079633 -0.78539816  0.          0.78539816 -2.35619449 -0.78539816  1.57079633  2.35619449  1.57079633],1,27,9.0
graphs/main/all_8/graph_28/28.gml,graphs/main/all_8/graph_28/28.gml,0.9285714285714286,[ 3.14159265 -1.57079633  3.14159265  1.57079633  1.57079633  1.57079633  1.57079633  0.         -2.35619449 -0.78539816 -2.35619449  0.78539816  0.78539816  0.78539816  0.78539816  0.        ],1,28,10.0
