graph_num,C,p_1,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,gamma_0,gamma_1,gamma_2,gamma_3,gamma_4,gamma_5,gamma_6,gamma_7,gamma_8,gamma_9,gamma_10,gamma_11,gamma_12,gamma_13,gamma_14,gamma_15,gamma_16,gamma_17,gamma_18,gamma_19,gamma_20,gamma_21,gamma_22,gamma_23,gamma_24,gamma_25,gamma_26,gamma_27
0,7.0,0.9999999999975354,0.78539649,2.3561936,0.78539799,2.35619461,2.35619438,0.78539775,2.356194337179587,3.1415917071795865,1.57079639,-1.57079379,1.5707965,-1.57079754,-1.5707993171795869,1.57079588,-1.57079968,,,,,,,,,,,,,,,,,,,,,
1,7.0,0.9285714285708347,0.75436708,2.35619365,-0.78539826,-2.35619417,-0.78539788,2.3561947971795867,3.1105519571795868,-3.1415926471795865,-1.59494987,-3.1173952571795867,-1.57079734,-1.57079723,1.57079648,-1.57079499,-1.57079579,,,,,,,,,,,,,,,,,,,,,
2,10.0,0.9999999999978312,2.42042962,2.3561936,0.78539808,-2.35619405,2.35619531,-0.78539858,-2.24907125,3.1415924371795865,-2.00242371,1.71029915,-1.57079414,1.57079642,1.57079643,-1.5708028,-1.57079565,1.77434517,,,,,,,,,,,,,,,,,,,,
3,11.0,0.9285714285686753,-2.35619492,-2.35619497,0.7853983080000001,2.3561948,2.35619441,-2.35619226,1.57079667,1.14250975e-06,-1.5707985171795864,-1.5707969271795863,1.57079367,-1.5707992,-1.57079671,1.57079277,0.997485428,,,,,,,,,,,,,,,,,,,,,
4,11.0,0.9285714285675252,0.78539808,-2.35619525,-0.78539654,-2.35619364,0.78539597,0.78539798,1.57079723,3.14159255,2.62433063,-2.08806022,-1.57079767,-1.57079775,1.5707954,1.5708036771795861,1.57079464,,,,,,,,,,,,,,,,,,,,,
5,11.0,0.9999999999971872,-0.785398429,-2.35619279,-0.78539768,-0.785398207,-2.35619481,-2.35619437,-1.5707965,1.50564485e-07,-1.64429905,3.06808784,-1.57079332,-1.57079865,-1.57079805,1.57079241,1.57080162,-2.86252313,,,,,,,,,,,,,,,,,,,,
6,12.0,0.8749999999936374,2.35619441,-2.35619446,-0.78540081,-2.35619464,0.785397999,0.785398174,-3.14159049,-1.74140763e-06,2.55568853,2.15669929,1.82250127,-0.251702974,-1.5708011471795864,1.57079088,1.57079741,1.57079036,,,,,,,,,,,,,,,,,,,,
7,12.0,0.9999999999849007,0.785398762,-2.35619644,-2.356188,2.35619308,2.356192,-0.785399013,-2.35619227,-1.57079568,-4.18341269e-06,-1.57079403,3.30736387e-06,-1.57080012,-1.57078956,1.57079257,1.5707939,1.57079283,1.5708047871795865,,,,,,,,,,,,,,,,,,,
8,11.0,0.9285714285697628,-0.78539887,-2.35619598,-0.78539835,-0.78539725,-2.35619387,0.7853979300000001,1.57079619,-1.5707974,1.57079766,-1.57079765,1.57079491,1.57079555,-1.57079312,-1.57079633,-2.27295915,,,,,,,,,,,,,,,,,,,,,
9,13.0,0.9285714285692,0.78539862,-0.7853979090000001,-0.785398137,-0.7853986180000001,2.35619392,0.7853979,1.12035473e-06,1.57079673,0.9790729189999999,-0.591720871,-1.57079907,-1.5707975,1.57079153,1.57079446,-1.57079751,,,,,,,,,,,,,,,,,,,,,
10,7.0,0.9999999999968388,0.7853977799999999,-0.7853986,-2.35619425,2.35619483,0.785399,2.35619293,1.57079622,-1.57079634,-3.0005064271795865,1.42970451,1.57079782,-1.57079652,1.57079718,-1.5707994,1.57080181,-2.828321117179587,,,,,,,,,,,,,,,,,,,,
11,9.0,0.8749999999935697,0.78539708,0.78540012,-2.35619448,0.78539791,0.78539863,-0.7853979,-1.57079603,-1.57079864,-0.45489318,-1.11589711,-0.84548466,-0.72531584,-1.57079448,-1.57080142,-1.57079937,1.5707969,,,,,,,,,,,,,,,,,,,,
12,11.0,0.937499999996124,-2.35619491,0.78539849,0.785397248,-0.785398493,2.35619573,-2.35619492,-4.1772779300000006e-07,-1.57079567,-1.72209513,2.99030037,-2.06177288,2.65061729,1.57079284,1.57079681,1.57079093,-1.57080066,1.03122699,,,,,,,,,,,,,,,,,,,
13,11.0,0.8333333333230571,-0.785396548,-2.35619289,-0.785399893,2.35619551,0.785398833,-2.3561953,-1.57079521,9.77766267e-07,-2.61093896,2.10145731,1.95565383,-2.75674969,2.49832651,0.927537391,-1.57079754,1.57079592,1.57079694,,,,,,,,,,,,,,,,,,,
14,8.0,0.9999999999647746,-2.35619659,0.785393065,2.35619373,0.785399608,0.785395894,-2.35619366,2.356194917179587,3.63542264e-06,3.141582737179587,-1.57079698,-1.2324811e-06,1.57079451,3.141583317179587,1.57079067,1.57080662,1.5707898771795865,1.57080126,1.5708036,,,,,,,,,,,,,,,,,,
15,8.0,0.8749999999965217,0.7854002660000001,-2.35619216,0.785398258,-0.785397523,2.35619451,-2.35619384,-1.22471252e-06,-7.806359709999999e-07,-1.56641505,3.13720713,-2.655882807179587,-2.05650708,1.5707939171795868,-1.57079372,-1.57079757,1.57079325,,,,,,,,,,,,,,,,,,,,
16,9.0,0.937499999998931,-2.35619212,-0.785398459,0.785398827,-2.3561944,-2.35619396,2.35619432,-3.14159238,-2.6503180299999996e-07,0.222943682,1.34785204,0.809739321,-2.38053485,1.57079864,1.5707961771795864,1.57079678,-1.5707960571795863,1.34861113,,,,,,,,,,,,,,,,,,,
17,12.0,0.8333333333320465,-0.785397549,-0.785397778,0.785397439,-0.785398266,0.785400106,2.35619515,-1.57079687,1.24624739e-07,1.08875894,-0.48203370300000004,2.55661252,0.985815522,-1.24641142,0.324385143,1.57079397,1.57079508,-1.57079689,,,,,,,,,,,,,,,,,,,
18,10.0,0.944444444413809,-0.785394751,-0.785398886,-0.7853984471795867,1.26703637,-2.35619396,0.7853992649999999,-0.785399415,-2.34117214e-06,-8.505449489999999e-06,-1.57080683,-3.1415917471795867,1.57078483,3.14158902,1.57079461,3.14159041,1.57078817,1.57079126,-1.5707874,,,,,,,,,,,,,,,,,,
19,11.0,0.7999999999970585,-0.78539936,-0.78539751,0.78540166,-2.35619464,-2.35619481,0.785398,3.14159008,1.57079521,0.70577713,2.27656644,2.7553379371795867,-1.9570510671795864,1.05859487,-0.51220362,2.98412493,1.41332851,-1.5707961571795865,-1.57079726,,,,,,,,,,,,,,,,,,
20,10.0,0.9999999999893744,0.785395263,-0.785398503,-2.3561939471795865,2.35619298,-0.785396648,-2.3561927771795865,2.35619493,3.14159208,1.05261898e-06,1.57079616,-3.14158868,1.57079796,1.36977198e-06,1.57079622,3.14158962,1.57078867,-1.5707911,1.57079897,1.57079165,,,,,,,,,,,,,,,,,
21,11.0,0.7999999999989486,-0.785395928,0.785397462,-0.785397185,0.7853976599999999,-0.7853974289999999,2.35619609,-1.57079594,7.985818900000001e-08,2.7437617971795865,1.17296564,1.29850145,2.86929764,-2.00645169,2.7059365,2.97509001,-1.73729825,1.5707963,-1.5707968,,,,,,,,,,,,,,,,,,
22,12.0,0.9499999999800024,0.785400366,0.78539478,2.3561935171795865,2.35619389,-0.785398905,0.802152749,8.53001692e-07,0.785397406,1.57081059,1.27462766e-07,1.57080128,2.10679488e-06,1.57079664,3.1415893571795865,-1.57079158,-6.865357220000001e-07,-1.57080014,-3.3231724e-06,1.5707930971795865,,,,,,,,,,,,,,,,,
