graph_num,C,p_1,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,gamma_0,gamma_1,gamma_2,gamma_3,gamma_4,gamma_5,gamma_6,gamma_7,gamma_8,gamma_9,gamma_10,gamma_11,gamma_12,gamma_13,gamma_14,gamma_15,gamma_16,gamma_17,gamma_18,gamma_19,gamma_20,gamma_21,gamma_22,gamma_23,gamma_24,gamma_25,gamma_26,gamma_27
0,7.0,0.99999999999862,2.35619514,2.35619426,-0.78539982,2.35619409,-0.78539866,-0.78540011,2.35619406,-1.57079659,1.57079578,1.57079703,1.57079499,1.57079709,1.57079704,1.5707948,1.57079693,,,,,,,,,,,,,,,,,,,,,
1,7.0,0.928571428534033,2.7535930871795866,-2.3561962,-2.35619277,-2.35619622,-0.78539643,2.35619136,-2.65335334,-1.57079672,1.03806104,2.33043205,-1.57078804,-1.57080473,-1.57078813,1.57080435,1.57078285,,,,,,,,,,,,,,,,,,,,,
2,10.0,0.9999999997920096,-2.1749933,2.35619082,-2.35619082,2.35619347,0.78539921,-2.35619083,-1.89146101,1.57079675,2.5339328,2.10547542,1.57079656,-1.57079594,1.57079494,-1.570798,-1.57079602,3.06073246,,,,,,,,,,,,,,,,,,,,
3,11.0,0.928571428569894,0.7853981200000001,-2.35619453,-0.78539842,2.35619422,-0.78539841,-2.35619429,1.57079646,1.57079663,-1.57079943,-1.57079948,1.570794,1.57079855,1.57079855,-1.57079866,1.57079637,,,,,,,,,,,,,,,,,,,,,
4,11.0,0.9285714282492376,-2.3561890071795863,-2.3561733671795864,-2.3561906,-0.78538629,-0.7853863,2.35618199,1.57076751,1.57079955,0.77574582,-2.3465403,-1.57075966,-1.570835,1.57078752,1.57078747,1.57077099,,,,,,,,,,,,,,,,,,,,,
5,11.0,0.9999999996315728,-0.785400887,-2.3561817771795863,-0.785397336,-0.785394322,-0.785394328,2.35619934,1.57079915,3.1415902871795867,-0.699555076,-2.27042898,-1.5707773,-1.57079996,-1.5707826,-1.57078257,-1.57084415,0.00025061253,,,,,,,,,,,,,,,,,,,,
6,12.0,0.8749999987820096,2.35617209,2.17682411,2.35622589,-0.78539449,-0.78540243,0.78540248,1.750152,1.57079169,3.14153705,-1.57068735,-1.5727183,-3.13957357,1.57092419,1.57078289,1.5707257371795864,-1.57086692,,,,,,,,,,,,,,,,,,,,
7,12.0,0.9999999998728536,-2.35619575,0.785394905,-0.785392373,-2.3562003,0.78539241,0.785396094,2.35619364,1.57079376,1.5406283199999995e-05,-1.57079534,3.141587267179587,1.57078213,1.57076672,-1.57082592,-1.57076682,-1.57079854,1.57078543,,,,,,,,,,,,,,,,,,,
8,11.0,0.9285714274002252,-2.35614982,0.78542405,-2.35614964,0.78539016,2.35619939,-2.35619721,-1.57080976,3.141571397179587,-1.57079285,-1.57079987,-1.57079279,1.57082261,-1.57074436,1.57084816,-1.67950749,,,,,,,,,,,,,,,,,,,,,
9,13.0,0.9285714280312868,0.7853854199999999,0.78539146,-0.78539414,-0.78538791,-0.78539239,0.78537533,1.5707776,-1.57080833,0.05487157,-1.6256785,-1.57074696,1.57074426,1.5707749,1.57076901,-1.57079986,,,,,,,,,,,,,,,,,,,,,
