path,random_path,p_1,p_1_angles,p_1_nfev
graphs/main/all_8/graph_0/0.gml,graphs/main/all_8/graph_0/angle_rounding_gamma/0.gml,0.5,[ 1.57079633 -0.78539816],3
graphs/main/all_8/graph_1/1.gml,graphs/main/all_8/graph_1/angle_rounding_gamma/0.gml,0.5,[ 0.         -3.14159265],3
graphs/main/all_8/graph_10/10.gml,graphs/main/all_8/graph_10/angle_rounding_gamma/0.gml,0.6880709401324496,[-2.18627697  1.17809716],30
graphs/main/all_8/graph_100/100.gml,graphs/main/all_8/graph_100/angle_rounding_gamma/0.gml,0.6175867509066509,[-0.88402009 -1.96349542],30
graphs/main/all_8/graph_1000/1000.gml,graphs/main/all_8/graph_1000/angle_rounding_gamma/0.gml,0.7350107870653781,[ 0.93592935 -2.7488936 ],33
graphs/main/all_8/graph_10000/10000.gml,graphs/main/all_8/graph_10000/angle_rounding_gamma/0.gml,0.6153846153846154,[-3.14159265 -3.14159265],3
graphs/main/all_8/graph_10001/10001.gml,graphs/main/all_8/graph_10001/angle_rounding_gamma/0.gml,0.6538461538461539,[ 1.57079633 -0.78539816],3
graphs/main/all_8/graph_10002/10002.gml,graphs/main/all_8/graph_10002/angle_rounding_gamma/0.gml,0.6153846153846154,[ 0.         -2.35619449],3
graphs/main/all_8/graph_10003/10003.gml,graphs/main/all_8/graph_10003/angle_rounding_gamma/0.gml,0.760182071237011,[-0.89095755 -1.9634953 ],36
graphs/main/all_8/graph_10004/10004.gml,graphs/main/all_8/graph_10004/angle_rounding_gamma/0.gml,0.6538461538461539,[-3.14159265  0.        ],3
graphs/main/all_8/graph_10005/10005.gml,graphs/main/all_8/graph_10005/angle_rounding_gamma/0.gml,0.7777669354428901,[ 0.66993963 -2.77836153],27
graphs/main/all_8/graph_10006/10006.gml,graphs/main/all_8/graph_10006/angle_rounding_gamma/0.gml,0.6538461538461539,[1.57079633 1.57079633],3
graphs/main/all_8/graph_10007/10007.gml,graphs/main/all_8/graph_10007/angle_rounding_gamma/0.gml,0.7083333333333334,[1.57079633 0.        ],3
graphs/main/all_8/graph_10008/10008.gml,graphs/main/all_8/graph_10008/angle_rounding_gamma/0.gml,0.6923076923076923,[-1.57079633 -0.78539816],3
graphs/main/all_8/graph_10009/10009.gml,graphs/main/all_8/graph_10009/angle_rounding_gamma/0.gml,0.75,[1.57079637 0.39269908],33
graphs/main/all_8/graph_1001/1001.gml,graphs/main/all_8/graph_1001/angle_rounding_gamma/0.gml,0.7420146392258344,[-0.70632527 -0.35301627],42
graphs/main/all_8/graph_10010/10010.gml,graphs/main/all_8/graph_10010/angle_rounding_gamma/0.gml,0.7499999999999999,[1.57079631 0.39269907],21
graphs/main/all_8/graph_10011/10011.gml,graphs/main/all_8/graph_10011/angle_rounding_gamma/0.gml,0.7017065272957071,[ 0.89095757 -1.17809714],36
