path,random_path,p_1,p_1_angles,p_1_nfev
graphs/main/all_8/graph_0/0.gml,graphs/main/all_8/graph_0/angle_rounding_gamma/0.gml,0.5,[-2.74889357  1.57079633],3
graphs/main/all_8/graph_1/1.gml,graphs/main/all_8/graph_1/angle_rounding_gamma/0.gml,0.5714285714282583,[ 1.57079799 -1.17809663],36
graphs/main/all_8/graph_10/10.gml,graphs/main/all_8/graph_10/angle_rounding_gamma/0.gml,0.6880709401325192,[-2.18627596  2.74889346],36
graphs/main/all_8/graph_100/100.gml,graphs/main/all_8/graph_100/angle_rounding_gamma/0.gml,0.617586750906647,[ 0.88402023 -1.17809725],60
graphs/main/all_8/graph_1000/1000.gml,graphs/main/all_8/graph_1000/angle_rounding_gamma/0.gml,0.7350107870653794,[0.93592942 0.39269911],36
graphs/main/all_8/graph_10000/10000.gml,graphs/main/all_8/graph_10000/angle_rounding_gamma/0.gml,0.6476982632275448,[2.49035335 1.17809596],36
graphs/main/all_8/graph_10001/10001.gml,graphs/main/all_8/graph_10001/angle_rounding_gamma/0.gml,0.7182770144509882,[ 2.56904208 -0.39009148],33
graphs/main/all_8/graph_10002/10002.gml,graphs/main/all_8/graph_10002/angle_rounding_gamma/0.gml,0.6476982632275448,[2.49035335 1.17809596],36
graphs/main/all_8/graph_10003/10003.gml,graphs/main/all_8/graph_10003/angle_rounding_gamma/0.gml,0.760182071237124,[-0.89095837  1.17809725],30
graphs/main/all_8/graph_10004/10004.gml,graphs/main/all_8/graph_10004/angle_rounding_gamma/0.gml,0.7182770144509882,[ 2.56904208 -0.39009148],33
graphs/main/all_8/graph_10005/10005.gml,graphs/main/all_8/graph_10005/angle_rounding_gamma/0.gml,0.7777669354406077,[-0.6699374  -0.36323006],27
graphs/main/all_8/graph_10006/10006.gml,graphs/main/all_8/graph_10006/angle_rounding_gamma/0.gml,0.7182770144506139,[-2.56904349  0.39009127],21
graphs/main/all_8/graph_10007/10007.gml,graphs/main/all_8/graph_10007/angle_rounding_gamma/0.gml,0.7781334323214985,[-2.56904349  0.39009127],21
graphs/main/all_8/graph_10008/10008.gml,graphs/main/all_8/graph_10008/angle_rounding_gamma/0.gml,0.8207046027990818,[-0.56652021 -0.34856965],33
graphs/main/all_8/graph_10009/10009.gml,graphs/main/all_8/graph_10009/angle_rounding_gamma/0.gml,0.7499999999996203,[ 1.57079807 -1.17809663],36
graphs/main/all_8/graph_1001/1001.gml,graphs/main/all_8/graph_1001/angle_rounding_gamma/0.gml,0.7420146392256189,[ 0.70632526 -1.21778091],36
graphs/main/all_8/graph_10010/10010.gml,graphs/main/all_8/graph_10010/angle_rounding_gamma/0.gml,0.7499999999998295,[-1.57079799  1.17809696],33
graphs/main/all_8/graph_10011/10011.gml,graphs/main/all_8/graph_10011/angle_rounding_gamma/0.gml,0.7017065272958067,[0.89095839 0.3926991 ],36
graphs/main/all_8/graph_10012/10012.gml,graphs/main/all_8/graph_10012/angle_rounding_gamma/0.gml,0.7210223357974722,[ 2.56672581 -0.40059882],18
