path,random_path,p_1,p_1_angles,p_1_nfev
graphs/main/all_8/graph_0/0.gml,graphs/main/all_8/graph_0/0.gml,0.7499999999999999,[-1.57079633 -1.96349542],21
graphs/main/all_8/graph_1/1.gml,graphs/main/all_8/graph_1/1.gml,0.7253645471452309,[-1.2554725  -0.39270079],33
graphs/main/all_8/graph_10/10.gml,graphs/main/all_8/graph_10/10.gml,0.7839133663999636,[-0.71981185  2.76954135],30
graphs/main/all_8/graph_100/100.gml,graphs/main/all_8/graph_100/100.gml,0.7020142599193478,[ 0.68016966 -1.17809725],30
graphs/main/all_8/graph_1000/1000.gml,graphs/main/all_8/graph_1000/1000.gml,0.8389785140428416,[-0.63086755 -0.35777649],30
graphs/main/all_8/graph_10000/10000.gml,graphs/main/all_8/graph_10000/10000.gml,0.7681734324012616,[0.48843443 1.9026611 ],30
graphs/main/all_8/graph_10001/10001.gml,graphs/main/all_8/graph_10001/10001.gml,0.7956026165396247,[0.45843804 1.88110532],33
graphs/main/all_8/graph_10002/10002.gml,graphs/main/all_8/graph_10002/10002.gml,0.7625733500322268,[-0.48197363 -1.89577284],30
graphs/main/all_8/graph_10003/10003.gml,graphs/main/all_8/graph_10003/10003.gml,0.8254831388023752,[-0.4800063  -0.32413916],30
graphs/main/all_8/graph_10004/10004.gml,graphs/main/all_8/graph_10004/10004.gml,0.7909695392839773,[-0.45200063 -0.30449894],33
graphs/main/all_8/graph_10005/10005.gml,graphs/main/all_8/graph_10005/10005.gml,0.8312155015252228,[-0.48250692  2.81219628],30
graphs/main/all_8/graph_10006/10006.gml,graphs/main/all_8/graph_10006/10006.gml,0.7998131555141469,[-0.46199516  2.82588115],30
graphs/main/all_8/graph_10007/10007.gml,graphs/main/all_8/graph_10007/10007.gml,0.8659140874758028,[0.46008184 0.31503694],30
graphs/main/all_8/graph_10008/10008.gml,graphs/main/all_8/graph_10008/10008.gml,0.8299580778409736,[0.43632763 0.29880985],30
graphs/main/all_8/graph_10009/10009.gml,graphs/main/all_8/graph_10009/10009.gml,0.814543202122802,[2.67651219 1.87887777],30
graphs/main/all_8/graph_1001/1001.gml,graphs/main/all_8/graph_1001/1001.gml,0.7889273796016386,[-0.58697292  2.80394169],30
graphs/main/all_8/graph_10010/10010.gml,graphs/main/all_8/graph_10010/10010.gml,0.8053640433304445,[ 0.45641645 -1.27374664],30
graphs/main/all_8/graph_10011/10011.gml,graphs/main/all_8/graph_10011/10011.gml,0.7618632595724569,[-0.47678349  1.24831406],30
