path,random_path,p_1,p_1_angles,p_1_nfev
graphs/main/all_8/graph_0/0.gml,graphs/main/all_8/graph_0/0.gml,0.4285714289890081,[ 0.78539816 -1.57079633 -0.78539816 -1.57079633  0.78539816  1.57079633  0.         -0.78539816  1.57079633 -3.14159265 -3.14159265  0.78539816  0.78539816 -0.78539816  1.57079633],1
graphs/main/all_8/graph_1/1.gml,graphs/main/all_8/graph_1/1.gml,0.4494923720536346,[-2.35619449  1.57079633 -0.78539816 -0.78539816 -2.35619449 -0.78539816 -2.35619449  0.         -0.78539816  1.57079633  1.57079633  0.          0.         -1.57079633 -1.57079633],1
graphs/main/all_8/graph_10/10.gml,graphs/main/all_8/graph_10/10.gml,0.6933647698065266,[ 0.78539816 -1.57079633  1.57079633 -1.57079633  1.57079633  1.57079633 -0.78539816  1.57079633 -1.57079633 -0.78539816 -3.14159265 -0.78539816 -1.57079633 -2.35619449 -2.35619449 -1.57079633],1
graphs/main/all_8/graph_100/100.gml,graphs/main/all_8/graph_100/100.gml,0.4607162899204959,[-0.78539816  0.          0.         -0.78539816 -3.14159265 -0.78539816  0.78539816 -0.78539816  0.          0.          1.57079633 -0.78539816  1.57079633  0.         -2.35619449 -2.35619449 -3.14159265],1
graphs/main/all_8/graph_1000/1000.gml,graphs/main/all_8/graph_1000/1000.gml,0.669194173390718,[ 1.57079633 -1.57079633 -3.14159265 -1.57079633 -0.78539816 -1.57079633 -0.78539816 -0.78539816 -2.35619449  1.57079633 -3.14159265 -3.14159265 -1.57079633  0.78539816  0.         -2.35619449 -2.35619449 -1.57079633],1
graphs/main/all_8/graph_10000/10000.gml,graphs/main/all_8/graph_10000/10000.gml,0.6233502606481467,[-2.35619449  0.78539816  0.78539816  0.78539816  0.          1.57079633  0.78539816 -1.57079633  0.          0.          0.78539816 -0.78539816 -3.14159265 -2.35619449  1.57079633 -1.57079633 -2.35619449  0.         -3.14159265  0.78539816  0.         -3.14159265 -2.35619449 -3.14159265],1
graphs/main/all_8/graph_10001/10001.gml,graphs/main/all_8/graph_10001/10001.gml,0.6346153846813547,[-1.57079633 -3.14159265 -1.57079633 -1.57079633 -2.35619449  0.         -2.35619449  0.78539816 -2.35619449  1.57079633 -1.57079633  0.         -2.35619449  0.78539816 -0.78539816  0.78539816 -0.78539816  0.78539816  1.57079633  0.78539816 -0.78539816 -2.35619449 -0.78539816 -1.57079633  1.57079633],1
graphs/main/all_8/graph_10002/10002.gml,graphs/main/all_8/graph_10002/10002.gml,0.5865384615450718,[ 0.78539816 -0.78539816 -2.35619449 -3.14159265 -2.35619449 -1.57079633 -3.14159265 -2.35619449  0.78539816 -2.35619449 -2.35619449  0.78539816 -1.57079633 -2.35619449  1.57079633 -2.35619449 -1.57079633 -3.14159265 -2.35619449  1.57079633  1.57079633  1.57079633 -2.35619449 -1.57079633],1
graphs/main/all_8/graph_10003/10003.gml,graphs/main/all_8/graph_10003/10003.gml,0.662351942083229,[-2.35619449 -1.57079633  0.78539816 -3.14159265 -0.78539816  0.78539816 -1.57079633 -0.78539816 -3.14159265 -3.14159265 -0.78539816  1.57079633 -1.57079633 -2.35619449  0.         -2.35619449  0.78539816 -2.35619449 -0.78539816  0.          0.         -2.35619449 -3.14159265 -2.35619449],1
graphs/main/all_8/graph_10004/10004.gml,graphs/main/all_8/graph_10004/10004.gml,0.6538461541498903,[-0.78539816 -1.57079633  0.78539816  0.         -3.14159265  1.57079633  0.78539816  0.          0.          1.57079633  1.57079633  1.57079633 -2.35619449 -0.78539816  0.          1.57079633 -2.35619449 -3.14159265 -3.14159265  1.57079633  0.          1.57079633 -1.57079633  0.         -1.57079633],1
