path,random_path,p_1,p_1_angles,p_1_nfev
graphs/main/all_8/graph_0/0.gml,graphs/main/all_8/graph_0/0.gml,0.40765048433357176,[ 1.57079633  0.         -2.35619449  0.78539816  1.57079633 -0.78539816  1.57079633  0.78539816 -1.57079633 -1.57079633 -0.78539816  0.78539816 -1.57079633 -3.14159265  1.57079633],1
graphs/main/all_8/graph_1/1.gml,graphs/main/all_8/graph_1/1.gml,0.49999999948717244,[-3.14159265 -3.14159265  0.          0.         -1.57079633 -1.57079633 -3.14159265 -3.14159265 -1.57079633 -2.35619449  1.57079633 -0.78539816 -2.35619449 -2.35619449 -2.35619449],1
graphs/main/all_8/graph_10/10.gml,graphs/main/all_8/graph_10/10.gml,0.5209209441161441,[ 0.         -3.14159265 -3.14159265 -0.78539816 -3.14159265  0.         -3.14159265 -0.78539816  1.57079633  1.57079633  0.78539816  1.57079633 -1.57079633  0.78539816  0.          0.        ],1
graphs/main/all_8/graph_100/100.gml,graphs/main/all_8/graph_100/100.gml,0.48372815420847853,[-3.14159265 -3.14159265 -1.57079633  0.78539816 -1.57079633 -1.57079633 -1.57079633 -3.14159265 -1.57079633  0.78539816 -0.78539816 -2.35619449  0.78539816 -3.14159265  1.57079633  0.78539816 -3.14159265],1
graphs/main/all_8/graph_1000/1000.gml,graphs/main/all_8/graph_1000/1000.gml,0.62499999942434,[ 1.57079633 -3.14159265 -0.78539816 -2.35619449  0.         -1.57079633 -2.35619449  0.78539816 -3.14159265 -3.14159265 -2.35619449 -1.57079633  0.         -0.78539816  0.78539816 -3.14159265  0.78539816 -1.57079633],1
graphs/main/all_8/graph_10000/10000.gml,graphs/main/all_8/graph_10000/10000.gml,0.5745899926108415,[-1.57079633  1.57079633 -0.78539816 -0.78539816 -0.78539816  0.          0.         -0.78539816 -0.78539816  1.57079633 -3.14159265 -1.57079633  0.78539816 -3.14159265 -0.78539816  1.57079633 -3.14159265 -3.14159265  1.57079633 -1.57079633  0.78539816 -3.14159265 -2.35619449  0.        ],1
graphs/main/all_8/graph_10001/10001.gml,graphs/main/all_8/graph_10001/10001.gml,0.6362651235284968,[-1.57079633 -2.35619449 -0.78539816 -1.57079633  1.57079633 -2.35619449  0.78539816 -0.78539816 -3.14159265  1.57079633 -1.57079633 -2.35619449  0.         -2.35619449 -0.78539816 -3.14159265 -2.35619449 -0.78539816  0.78539816 -0.78539816 -3.14159265  1.57079633 -0.78539816 -3.14159265 -1.57079633],1
graphs/main/all_8/graph_10002/10002.gml,graphs/main/all_8/graph_10002/10002.gml,0.6289828227072791,[ 1.57079633 -1.57079633 -2.35619449 -1.57079633  1.57079633 -3.14159265 -1.57079633 -1.57079633 -2.35619449 -1.57079633 -0.78539816 -0.78539816  0.          0.78539816 -0.78539816  1.57079633 -3.14159265  0.78539816 -0.78539816  1.57079633  0.78539816  0.         -1.57079633  1.57079633],1
graphs/main/all_8/graph_10003/10003.gml,graphs/main/all_8/graph_10003/10003.gml,0.7230647246939839,[ 0.         -2.35619449 -1.57079633  0.78539816  0.78539816  0.         -1.57079633  1.57079633  0.78539816  0.          0.          1.57079633 -3.14159265  1.57079633  0.78539816  0.78539816  0.78539816  1.57079633 -1.57079633 -0.78539816 -1.57079633 -2.35619449  0.78539816 -3.14159265],1
graphs/main/all_8/graph_10004/10004.gml,graphs/main/all_8/graph_10004/10004.gml,0.6770597457353877,[-2.35619449  0.         -0.78539816  0.78539816 -1.57079633  1.57079633 -3.14159265 -1.57079633 -2.35619449 -3.14159265 -2.35619449  1.57079633  1.57079633 -0.78539816  0.78539816 -0.78539816 -1.57079633  0.78539816 -3.14159265  0.         -3.14159265 -3.14159265 -2.35619449  0.         -0.78539816],1
graphs/main/all_8/graph_10005/10005.gml,graphs/main/all_8/graph_10005/10005.gml,0.6666666664364899,[ 1.57079633 -3.14159265 -1.57079633  1.57079633  0.78539816 -2.35619449 -0.78539816  0.78539816 -2.35619449  1.57079633 -2.35619449 -1.57079633 -0.78539816  0.          0.          0.78539816  0.78539816  0.         -0.78539816 -2.35619449  1.57079633  0.          1.57079633  0.78539816],1
